Card Name,Set Name,Normal Price (USD),Foil Price (USD)
Alms Beast,Gatecrash,0.11,0.36
Alms Collector,Commander Masters,0.44,0.43
Alms of the Vein,Shadows over Innistrad,0.41,5.03
Aloe Alchemist,Outlaws of Thunder Junction,0.09,0.12
"Alora, Merry Thief",Commander Legends: Battle for Baldur's Gate,0.06,0.13
Alpha Authority,Gatecrash,2.08,12.62
Alpha Brawl,Dark Ascension,0.28,0.44
Alpha Deathclaw,Fallout,0.63,1.69
Alpha Kavu,Planeshift,0.21,0.50
Alpha Myr,Mirrodin,0.20,3.54
Alpha Status,Scourge,3.56,17.18
Alpha Tyrranax,Scars of Mirrodin,0.10,0.31
Alpine Grizzly,Khans of Tarkir,0.10,0.66
Alpine Guide,Modern Horizons,0.05,0.50
Alpine Houndmaster,Core Set 2021,0.09,0.24
Alpine Meadow,Kaldheim,0.26,0.35
Alpine Moon,Core Set 2019,0.57,5.94
Alpine Watchdog,Core Set 2021,0.10,0.38
"Alquist Proft, Master Sleuth",Murders at Karlov Manor,0.23,0.44
"Alrund, God of the Cosmos // Hakka, Whispering Raven",Kaldheim,0.47,0.57
Alrund's Epiphany,Kaldheim,3.83,3.37
Alseid of Life's Bounty,Theros Beyond Death,0.26,0.49
Altac Bloodseeker,Magic 2015,0.09,
Altaïr Ibn-La'Ahad,Assassin's Creed,4.96,5.18
"Altanak, the Thrice-Called",Duskmourn: House of Horror,0.37,0.26
Altar Golem,Eventide,0.42,0.76
Altar of Bhaal // Bone Offering,Commander Legends: Battle for Baldur's Gate,0.19,0.25
Altar of Bone,Ice Age,5.46,
Altar of Dementia,Modern Horizons,8.20,14.38
Altar of Shadows,Mirrodin,0.36,1.00
Altar of the Brood,Khans of Tarkir,10.07,20.51
Altar of the Goyf,Modern Horizons 2,0.05,0.15
Altar of the Lost,Dark Ascension,0.06,0.27
Altar of the Pantheon,Theros Beyond Death,0.09,0.36
Altar of the Wretched // Wretched Bonemass,The Lost Caverns of Ixalan Commander,0.47,0.60
Altar's Light,Mirrodin,0.13,0.53
Altar's Reap,Commander Anthology,0.37,
Altered Ego,Shadows over Innistrad,0.90,2.83
Alter Reality,Torment,0.93,13.65
Aluren,Tempest Remastered,,
Always Watching,Game Night,1.46,
Amalia Benavides Aguirre,The Lost Caverns of Ixalan,0.76,0.93
Amaranthine Wall,Dominaria,0.13,0.67
"Amareth, the Lustrous",Commander Legends,0.41,0.53
Amass the Components,Iconic Masters,0.05,0.16
Ambassador Blorpityblorpboop,Unfinity,0.04,0.07
Ambassador Laquatus,Tenth Edition,1.21,5.18
Ambassador Oak,Jumpstart,0.02,
Amber Gristle O'Maul,Commander Legends: Battle for Baldur's Gate,0.03,0.10
Amber Prison,Classic Sixth Edition,0.46,
Ambition's Cost,March of the Machine Commander,0.10,
Ambitious Aetherborn,Kaladesh,0.03,0.18
Ambitious Assault,Kamigawa: Neon Dynasty,0.02,0.08
Ambitious Dragonborn,Commander Legends: Battle for Baldur's Gate,0.02,0.09
Ambitious Farmhand // Seasoned Cathar,Innistrad: Midnight Hunt,0.15,0.26
Ambulatory Edifice,Phyrexia: All Will Be One,0.01,0.06
Ambuscade,Double Masters 2022,0.02,0.05
Ambuscade Shaman,Dragons of Tarkir,0.07,0.58
Ambush,Homelands,0.14,
Ambush Commander,Duel Decks Anthology: Elves vs. Goblins,,2.05
Ambush Gigapede,Outlaws of Thunder Junction,0.03,0.04
Ambush Krotiq,Fate Reforged,0.03,0.11
Ambush Paratrooper,The Brothers' War,0.03,0.04
Ambush Party,Masters Edition II,,
Ambush Viper,Commander Legends,0.10,0.21
Ambush Wolf,Foundations,0.03,0.04
Amethyst Dragon // Explosive Crystal,Commander Legends: Battle for Baldur's Gate,0.11,0.16
Aminatou's Augury,Duskmourn: House of Horror Commander,0.26,
"Aminatou, the Fateshifter",Double Masters 2022,5.11,4.86
"Aminatou, Veil Piercer",Duskmourn: House of Horror Commander,0.51,0.55
Ammit Eternal,Hour of Devastation,0.25,0.75
Amnesia,Masters Edition,,
Amoeboid Changeling,Lorwyn,0.44,7.67
Amok,Stronghold,0.26,
Amorphous Axe,Commander Legends,0.03,0.13
Amped Raptor,Modern Horizons 3,0.19,0.69
Amphibian Downpour,Modern Horizons 3,3.09,3.13
Amphibious Kavu,Planeshift,0.10,0.25
Amphin Cutthroat,Magic 2012,0.03,0.22
Amphin Mutineer,Murders at Karlov Manor Commander,0.07,
Amphin Pathmage,Magic 2015,0.09,0.39
Amplifire,Ravnica Allegiance,0.09,0.14
Ampryn Tactician,Magic Origins,0.03,
Amrou Kithkin,Masters Edition III,,
Amrou Scout,Time Spiral Remastered,0.05,0.18
Amrou Seekers,Time Spiral Remastered,0.02,0.19
Amugaba,Odyssey,0.29,9.87
Amulet of Kroog,Masters Edition IV,,
Amulet of Safekeeping,Core Set 2019,0.19,0.41
Amulet of Unmaking,Mirage,0.78,
Amulet of Vigor,Worldwake,25.80,41.62
Amy Pond,Doctor Who,0.11,0.55
"Amzu, Swarm's Hunger",Ravnica: Clue Edition,9.34,
Anaba Ancestor,Masters Edition III,,
Anaba Bodyguard,Tenth Edition,0.05,
Anaba Shaman,Ninth Edition,0.07,
Anaba Spirit Crafter,Masters Edition III,,
Ana Battlemage,Planar Chaos,0.11,4.97
Anaconda,Ninth Edition,0.08,
Ana Disciple,Apocalypse,0.12,0.49
"Anafenza, Kin-Tree Spirit",Commander Masters,0.14,0.19
"Anafenza, the Foremost",Khans of Tarkir,0.40,3.54
Analyze the Pollen,Murders at Karlov Manor,0.53,2.35
"Anara, Wolvid Familiar",Commander Legends,0.33,0.50
Anarchist,Tempest Remastered,,
Anarchy,Masters Edition II,,
Ana Sanctuary,Apocalypse,0.22,1.37
Anathemancer,Alara Reborn,0.28,1.87
Anavolver,Apocalypse,0.30,7.49
Anax and Cymede,Theros,0.20,0.97
"Anax, Hardened in the Forge",Commander Masters,0.10,0.10
Ancestor Dragon,Foundations,3.40,
Ancestors' Aid,The Lost Caverns of Ixalan,0.06,0.14
Ancestor's Chosen,Ultimate Masters,0.05,0.39
Ancestor's Prophet,Onslaught,0.39,3.71
Ancestral Anger,Innistrad: Crimson Vow,0.14,0.29
Ancestral Blade,Commander Masters,0.03,0.10
Ancestral Hot Dog Minotaur,Unfinity Sticker Sheets,0.27,
Ancestral Katana,Kamigawa: Neon Dynasty,0.03,0.12
Ancestral Knowledge,Weatherlight,3.86,
Ancestral Mask,Eternal Masters,1.91,7.39
Ancestral Memories,Seventh Edition,0.32,
Ancestral Reminiscence,The Lost Caverns of Ixalan,0.01,0.05
Ancestral Statue,Jumpstart,0.34,
Ancestral Tribute,Odyssey,0.46,2.91
Ancestral Vengeance,Fate Reforged,0.06,0.30
Ancestral Vision,Time Spiral Remastered,2.74,9.85
Anchor to Reality,Kamigawa: Neon Dynasty,0.12,0.20
Anchor to the Aether,Magic Origins,0.03,0.47
Ancient Amphitheater,Commander Anthology Volume II,0.42,
Ancient Animus,Commander Legends,0.09,0.20
Ancient Brass Dragon,Commander Legends: Battle for Baldur's Gate,23.00,23.01
Ancient Brontodon,Ixalan,0.09,0.50
Ancient Bronze Dragon,Commander Legends: Battle for Baldur's Gate,8.96,10.30
Ancient Carp,Dragons of Tarkir,0.03,0.17
Ancient Cellarspawn,Duskmourn: House of Horror Commander,2.63,
Ancient Copper Dragon,Commander Legends: Battle for Baldur's Gate,61.16,78.47
Ancient Cornucopia,The Big Score,2.60,4.51
Ancient Crab,Amonkhet,0.03,0.44
Ancient Craving,Crimson Vow Commander,0.26,
Ancient Den,Commander 2021,3.14,
Ancient Excavation,Commander Anthology Volume II,1.40,
Ancient Gold Dragon,Commander Legends: Battle for Baldur's Gate,14.51,15.91
Ancient Greenwarden,Outlaws of Thunder Junction Commander,10.03,
Ancient Grudge,Time Spiral Remastered,0.15,0.38
Ancient Hellkite,Magic 2011,0.27,0.60
Ancient Hydra,Nemesis,0.16,7.24
Ancient Imperiosaur,March of the Machine,0.25,0.23
Ancient Kavu,Invasion,0.08,0.31
Ancient Lumberknot,Innistrad: Crimson Vow,0.07,0.16
Ancient Ooze,Scourge,1.63,15.94
Ancient Runes,Tempest,2.00,
Ancient Silverback,Magic 2015,0.13,0.41
Ancient Silver Dragon,Commander Legends: Battle for Baldur's Gate,22.64,25.03
Ancient Spider,Planeshift,0.36,6.99
Ancient Spring,Invasion,0.16,2.95
Ancient Stirrings,Double Masters,0.16,0.37
Ancient Stone Idol,Murders at Karlov Manor Commander,0.14,
Ancient Tomb,Ultimate Masters,87.01,112.17
Ancient Ziggurat,Conflux,2.02,4.38
Andradite Leech,Invasion,0.30,3.68
And They Shall Know No Fear,"Warhammer 40,000 Commander",8.11,
"Andúril, Flame of the West",The Lord of the Rings: Tales of Middle-earth,3.22,4.14
"Andúril, Narsil Reforged",Tales of Middle-earth Commander,10.04,9.92
"Anep, Vizier of Hazoret",Foundations Jumpstart,0.24,
Angelfire Crusader,Apocalypse,0.10,0.35
Angelfire Ignition,Innistrad: Midnight Hunt,0.41,0.63
Angelheart Protector,Zendikar Rising,0.07,0.10
Angelheart Vial,Rise of the Eldrazi,0.39,1.30
Angelic Aberration,Modern Horizons 3 Commander,0.52,
Angelic Accord,Iconic Masters,1.08,4.42
Angelic Arbiter,Jumpstart,4.53,
Angelic Armaments,Commander Legends,0.05,0.11
Angelic Ascension,Core Set 2021,0.12,0.35
Angelic Benediction,Duel Decks Anthology: Divine vs. Demonic,0.43,
Angelic Blessing,Tempest Remastered,,
Angelic Captain,Battle for Zendikar,0.08,0.35
Angelic Chorus,Battlebond,5.63,8.35
Angelic Cub,Foundations Jumpstart,0.29,
Angelic Curator,Modern Horizons 2,0.11,0.20
Angelic Destiny,Foundations,0.81,
Angelic Edict,Jumpstart,0.06,
Angelic Exaltation,Ravnica Remastered,0.11,0.11
Angelic Favor,Nemesis,0.25,4.64
Angelic Field Marshal,Commander Masters,0.81,0.90
Angelic Gift,Forgotten Realms Commander,0.10,
Angelic Guardian,Core Set 2020,6.73,
Angelic Intervention,March of the Machine,0.08,0.13
Angelic Observer,Streets of New Capenna,0.03,0.15
Angelic Overseer,Innistrad,1.26,7.12
Angelic Page,Jumpstart,0.14,
Angelic Protector,Tempest Remastered,,
Angelic Purge,Shadows over Innistrad,0.11,0.45
Angelic Quartermaster,Innistrad: Crimson Vow,0.09,0.17
Angelic Renewal,Ultimate Masters,0.20,0.89
Angelic Sell-Sword,Outlaws of Thunder Junction Commander,0.19,
Angelic Shield,Duel Decks: Venser vs. Koth,0.26,
Angelic Skirmisher,Gatecrash,1.43,3.69
Angelic Sleuth,New Capenna Commander,0.22,
Angelic Voices,Masters Edition IV,,
Angelic Wall,Magic 2014,0.11,0.37
Angel of Condemnation,Hour of Devastation,0.40,1.79
Angel of Deliverance,Shadows over Innistrad,0.17,0.53
Angel of Despair,Ultimate Masters,0.98,2.83
Angel of Destiny,Zendikar Rising,5.63,4.72
Angel of Finality,Foundations,0.05,0.10
Angel of Flight Alabaster,Crimson Vow Commander,0.13,
Angel of Fury,Masters Edition II,,
Angel of Glory's Rise,Midnight Hunt Commander,0.27,
Angel of Grace,Ravnica Allegiance,0.53,3.33
Angel of Indemnity,Outlaws of Thunder Junction Commander,2.33,
Angel of Invention,Kaladesh,0.83,6.60
Angel of Jubilation,Avacyn Restored,10.24,42.48
Angel of Light,Masters Edition II,,
Angel of Mercy,Jumpstart,0.08,
Angel of Renewal,Battle for Zendikar,0.15,0.37
Angel of Retribution,Battlebond,0.08,0.66
Angel of Salvation,March of the Machine Commander,0.08,
Angel of Sanctions,Commander 2019,0.24,
Angel of Serenity,Commander 2021,0.85,
Angel of Suffering,Streets of New Capenna,2.54,2.83
Angel of the Dawn,Commander Legends,0.06,0.17
Angel of the Dire Hour,Jumpstart,3.06,
Angel of the God-Pharaoh,Hour of Devastation,0.07,0.80
Angel of the Ruins,Modern Horizons 3,0.11,0.14
Angel of Vitality,Foundations,,0.78
Angel's Feather,Duel Decks Anthology: Divine vs. Demonic,0.32,
Angel's Grace,Time Spiral Remastered,4.52,13.12
Angel's Herald,Shards of Alara,0.11,0.35
Angel's Mercy,Magic 2013,0.04,0.30
Angelsong,Duel Decks Anthology: Divine vs. Demonic,0.69,
Angel's Tomb,Magic Origins,0.08,0.25
Angel's Trumpet,Urza's Legacy,1.29,21.80
Anger,Forgotten Realms Commander,2.27,
Anger of the Gods,Double Masters 2022,0.43,0.75
Angler Drake,Amonkhet,0.06,0.18
Angler Turtle,Commander Legends: Battle for Baldur's Gate,0.14,
"Angrath, Captain of Chaos",War of the Spark,0.17,0.45
"Angrath, Minotaur Pirate",Rivals of Ixalan,,3.39
Angrath's Ambusher,Rivals of Ixalan,0.08,
Angrath's Fury,Rivals of Ixalan,0.13,
Angrath's Marauders,Outlaws of Thunder Junction Commander,0.15,
Angrath's Rampage,War of the Spark,0.17,2.50
"Angrath, the Flame-Chained",Rivals of Ixalan,3.49,6.47
Angry Mob,Masters Edition,,
Anguished Unmaking,Double Masters 2022,2.43,3.85
Angus Mackenzie,Masters Edition III,,
An-Havva Constable,Fifth Edition,0.23,
An-Havva Inn,Homelands,0.20,
An-Havva Township,Homelands,0.21,
"Anhelo, the Painter",New Capenna Commander,0.34,0.27
"Anikthea, Hand of Erebos",Commander Masters,,0.66
Animal Boneyard,Odyssey,0.28,10.06
Animal Friend,Fallout,0.18,0.47
Animal Magnetism,Commander Masters,0.03,0.02
Animal Sanctuary,Core Set 2021,1.92,1.16
"Animar, Soul of Elements",Double Masters 2022,11.59,19.08
Animate Artifact,Masters Edition IV,,
Animate Dead,Murders at Karlov Manor Commander,5.41,
Animate Land,Nemesis,0.29,3.38
Animate Wall,Masters Edition,,
Animating Faerie // Bring to Life,Throne of Eldraine,0.04,0.15
Animation Module,Kaladesh,0.83,8.18
Animist's Awakening,Commander 2020,3.94,
Animist's Might,March of the Machine: The Aftermath,0.08,0.06
"Anim Pakal, Thousandth Moon",The Lost Caverns of Ixalan,3.49,3.42
Animus of Predation,Conspiracy: Take the Crown,0.04,
Anje Falkenrath,Commander 2019,,0.70
"Anje, Maid of Dishonor",Innistrad: Crimson Vow,0.17,0.40
Anje's Ravager,Crimson Vow Commander,0.25,
Ankh of Mishra,Vintage Masters,,
Ankle Biter,Outlaws of Thunder Junction,0.11,0.10
Ankle Shanker,Commander 2016,0.34,
Annex,Ninth Edition,0.27,
Annex Sentry,Phyrexia: All Will Be One,0.14,0.16
"Annie Flash, the Veteran",Outlaws of Thunder Junction,0.23,0.33
Annie Joins Up,Outlaws of Thunder Junction,3.61,4.16
Annihilate,Eternal Masters,0.02,0.25
Annihilating Fire,Return to Ravnica,0.06,0.30
Annihilating Glare,Phyrexia: All Will Be One,0.09,0.13
Annoyed Altisaur,Modern Horizons 3,0.10,0.17
Annul,Kaldheim,0.12,0.26
Anodet Lurker,Fifth Dawn,0.04,0.32
An Offer You Can't Refuse,Foundations,1.25,1.89
Anoint,Tempest Remastered,,
Anointed Chorister,Core Set 2021,0.01,0.10
Anointed Deacon,Ixalan,0.05,0.15
Anointed Peacekeeper,Dominaria United,0.29,0.53
Anointed Procession,Amonkhet,50.86,66.43
Anointer of Champions,Archenemy: Nicol Bolas,0.10,
Anointer of Valor,Double Masters 2022,0.02,0.07
Anointer Priest,Amonkhet,0.08,0.85
Anoint with Affliction,Phyrexia: All Will Be One,1.70,3.52
Another Chance,The Lost Caverns of Ixalan,0.03,0.08
Another Round,Outlaws of Thunder Junction,0.38,0.44
"Anowon, the Ruin Sage",Crimson Vow Commander,1.24,
"Anowon, the Ruin Thief",Zendikar Rising Commander,,0.38
Anrakyr the Traveller,"Warhammer 40,000 Commander",0.41,
Answered Prayers,Modern Horizons,0.05,0.87
Antagonism,Urza's Saga,0.24,
Antagonize,Streets of New Capenna,0.03,0.09
Anthem of Champions,Foundations,0.30,0.27
Anthem of Rakdos,Dissension,0.63,17.89
"Anthousa, Setessan Hero",Theros,0.11,0.13
Anthropede,Duskmourn: House of Horror,0.02,0.02
Anthroplasm,Urza's Legacy,0.29,2.60
Anticipate,Ikoria: Lair of Behemoths,0.03,0.16
Anticognition,Zendikar Rising,0.04,0.15
Anti-Magic Aura,Fifth Edition,0.31,
Antler Skulkin,Eventide,0.19,1.09
Ant Queen,Modern Masters 2015,1.10,2.08
An Unearthly Child,Doctor Who,0.06,0.65
Anurid Barkripper,Judgment,0.11,0.49
Anurid Brushhopper,Judgment,0.47,9.56
Anurid Murkdiver,Onslaught,0.18,0.94
Anurid Scavenger,Torment,0.27,7.71
Anurid Swarmsnapper,Judgment,0.27,1.26
Anvil of Bogardan,Visions,30.84,
Anvilwrought Raptor,Core Set 2020,0.04,0.25
"Anya, Merciless Angel",Murders at Karlov Manor Commander,0.22,
An-Zerrin Ruins,Masters Edition II,,
Anzrag's Rampage,Murders at Karlov Manor,0.17,0.26
"Anzrag, the Quake-Mole",Murders at Karlov Manor,2.46,2.83
"Ao, the Dawn Sky",Kamigawa: Neon Dynasty,2.38,2.50
Apathy,Weatherlight,0.10,
Apes of Rath,Tempest,0.26,
Apex Altisaur,The Lost Caverns of Ixalan Commander,8.50,
Apex Devastator,Commander Legends,5.48,9.54
Apex Hawks,Conspiracy,0.04,0.28
Apex of Power,Forgotten Realms Commander,0.32,
"Aphelia, Viper Whisperer",Foundations Jumpstart,41.99,
"Aphemia, the Cacophony",Theros Beyond Death,0.11,0.32
Aphetto Alchemist,Onslaught,6.57,47.32
Aphetto Dredging,Onslaught,0.14,1.79
Aphetto Exterminator,Legions,0.19,0.91
Aphetto Grifter,Onslaught,0.15,2.91
Aphetto Runecaster,Scourge,0.54,12.22
Aphetto Vulture,Onslaught,0.16,0.85
Aphotic Wisps,Shadowmoor,0.50,49.93
Apocalypse,Tempest,8.03,
Apocalypse Chime,Homelands,0.76,
Apocalypse Demon,Hour of Devastation,0.18,0.99
Apocalypse Hydra,Battlebond,0.88,1.58
Apostle of Invasion,Phyrexia: All Will Be One,0.02,0.08
Apostle of Purifying Light,Core Set 2020,0.07,0.38
Apostle's Blessing,Modern Masters 2015,0.22,0.92
Apothecary Geist,Shadows over Innistrad,0.05,
Apothecary Initiate,Shadowmoor,0.12,0.51
Apothecary Stomper,Foundations,0.03,0.05
Apothecary White,Ravnica: Clue Edition,1.30,
Appeal // Authority,Hour of Devastation,0.05,0.66
Appendage Amalgam,Duskmourn: House of Horror,0.02,0.05
Appetite for Brains,Ultimate Masters,0.11,0.31
Appetite for the Unnatural,Kaladesh,0.05,0.43
"Apple of Eden, Isu Relic",Assassin's Creed,1.35,1.79
Applied Biomancy,Ravnica Allegiance,0.07,0.23
Apprentice Necromancer,Ultimate Masters,1.13,4.80
Apprentice Sharpshooter,Innistrad: Crimson Vow,0.01,0.06
Apprentice Sorcerer,Portal Second Age,1.28,
Apprentice Wizard,Double Masters,0.13,0.18
Approach of the Second Sun,Amonkhet,4.29,4.83
Aquamoeba,Dominaria Remastered,0.05,0.04
Aquamorph Entity,Duel Decks: Speed vs. Cunning,0.01,
Aquastrand Spider,Modern Masters 2015,0.10,0.39
Aquatic Alchemist // Bubble Up,Wilds of Eldraine,0.04,0.05
Aquatic Incursion,Rivals of Ixalan,0.09,0.69
Aqueous Form,Commander Legends,0.29,0.39
Aquitect's Will,Duel Decks: Merfolk vs. Goblins,0.35,
Aquus Steed,Return to Ravnica,0.05,
Araba Mothrider,Saviors of Kamigawa,0.29,2.84
"Arabella, Abandoned Doll",Duskmourn: House of Horror,0.35,1.58
Arachnoform,Kaldheim,0.05,0.22
Arachnogenesis,Duskmourn: House of Horror Commander,1.07,
Arachnoid,Fifth Dawn,0.17,0.76
Arachnoid Adaptation,March of the Machine,0.05,0.09
Arachnus Spinner,Double Masters 2022,0.13,0.15
Arachnus Web,Double Masters 2022,0.07,0.11
Aradara Express,Kaladesh,0.02,1.00
"Aradesh, the Founder",Fallout,0.06,0.21
"Aragorn and Arwen, Wed",The Lord of the Rings: Tales of Middle-earth,,3.70
"Aragorn, Company Leader",The Lord of the Rings: Tales of Middle-earth,0.16,0.23
"Aragorn, Hornburg Hero",Tales of Middle-earth Commander,2.11,1.09
"Aragorn, King of Gondor",Tales of Middle-earth Commander,0.81,0.97
"Aragorn, the Uniter",The Lord of the Rings: Tales of Middle-earth,2.71,4.70
"Arahbo, Roar of the World",Commander 2017,,20.72
"Arahbo, the First Fang",Foundations,1.04,0.99
Arashin Cleric,Fate Reforged,0.06,0.54
Arashin Foremost,Dragons of Tarkir,0.21,0.19
Arashin Sovereign,Dragons of Tarkir,0.19,0.80
Arashin War Beast,Fate Reforged,0.05,0.23
"Arashi, the Sky Asunder",Commander 2021,0.16,
Arasta of the Endless Web,Commander Masters,0.39,
Araumi of the Dead Tide,Commander Legends,0.05,0.18
Arbaaz Mir,Assassin's Creed,0.06,0.14
Arbalest Elite,Magic 2012,0.09,0.33
Arbalest Engineers,The Brothers' War,0.05,0.03
Arbiter of Knollridge,Commander Anthology Volume II,0.29,
Arbiter of the Ideal,Born of the Gods,0.26,0.48
Arbiter of Woe,Foundations,0.08,0.14
Arbor Armament,Jumpstart,0.04,
Arborback Stomper,Kaladesh,0.03,0.30
Arbor Colossus,Commander 2015,0.14,
Arboreal Alliance,Tales of Middle-earth Commander,0.30,0.38
Arboreal Grazer,Ravnica Remastered,0.20,0.21
Arborea Pegasus,Adventures in the Forgotten Realms,0.01,0.04
Arbor Elf,Masters 25,0.33,4.22
Arboretum Elemental,Guilds of Ravnica,0.06,0.32
Arboria,Dominaria Remastered,0.12,0.16
Arcade Gannon,Fallout,0.08,0.27
Arcades Sabboth,Dominaria Remastered,0.12,0.22
"Arcades, the Strategist",Core Set 2019,4.91,32.81
Arcane Adaptation,Ixalan,5.54,6.86
Arcane Artisan,Kaldheim Commander,0.20,
Arcane Bombardment,Outlaws of Thunder Junction Commander,1.22,
Arcane Denial,Duskmourn: House of Horror Commander,1.64,
Arcane Encyclopedia,Commander Legends: Battle for Baldur's Gate,0.04,0.08
Arcane Endeavor,Forgotten Realms Commander,0.25,
Arcane Epiphany,Foundations,0.05,0.16
Arcane Flight,Dominaria,0.06,0.49
Arcane Heist,Outlaws of Thunder Junction Commander,0.52,
Arcane Infusion,Innistrad: Midnight Hunt,0.12,0.17
Arcane Investigator,Adventures in the Forgotten Realms,0.01,0.04
Arcane Laboratory,Seventh Edition,1.23,
Arcane Lighthouse,Commander Masters,4.85,
Arcane Melee,Commander 2013,0.34,
Arcane Proxy,The Brothers' War,0.32,0.40
Arcane Sanctum,Duskmourn: House of Horror Commander,0.26,
Arcane Savant,Conspiracy: Take the Crown,0.17,2.02
Arcane Signet,Duskmourn: House of Horror Commander,0.47,
Arcane Spyglass,Darksteel,0.10,0.60
Arcane Subtraction,Strixhaven: School of Mages,0.01,0.06
Arcane Teachings,Tenth Edition,0.27,
Arcanis the Omnipotent,Foundations,0.29,
Arcanist's Owl,Neon Dynasty Commander,0.08,
Arcanum Wings,Future Sight,1.42,12.02
Arc Blade,Time Spiral Remastered,0.17,0.49
Arcbond,Fate Reforged,0.73,4.15
Arcbound Bruiser,Darksteel,0.09,0.55
Arcbound Condor,Modern Horizons 3,0.07,0.13
Arcbound Crusher,Planechase,2.18,
Arcbound Fiend,Darksteel,0.99,4.15
Arcbound Hybrid,Darksteel,0.14,0.96
Arcbound Javelineer,Modern Horizons 2,0.05,0.13
Arcbound Lancer,Darksteel,0.23,1.19
Arcbound Mouser,Modern Horizons 2,0.06,0.16
Arcbound Overseer,Darksteel,1.37,11.74
Arcbound Prototype,Modern Horizons 2,0.02,0.07
Arcbound Ravager,Modern Masters,11.24,16.79
Arcbound Reclaimer,Darksteel,7.16,21.44
Arcbound Shikari,Modern Horizons 2,0.06,0.18
Arcbound Slasher,Modern Horizons 2,0.02,0.08
Arcbound Slith,Planechase,0.26,
Arcbound Stinger,Modern Masters,0.22,0.86
Arcbound Tracker,Modern Horizons 2,0.03,0.13
Arcbound Wanderer,Modern Masters,0.11,0.24
